"MEMBERS’ ROLES AND COMMITTEE MEMBERSHIPS AS OF 2019.09.05",

SPEAKER AND OTHER PRESIDING OFFICERS
"Name","Title",
"Regan, Geoff (Hon.)","Speaker of the House",
"Stanton, Bruce","Deputy Speaker and Chair of the Committees of the Whole",
"Hughes, Carol","Deputy Chair Of Committees of the Whole",
"Rota, Anthony","Assistant Deputy Chair Of Committees of the Whole",


BOARD OF INTERNAL ECONOMY
"Name","Title",
"Regan, Geoff (Hon.)","Board of Internal Economy Chair",
"Bergen, Candice (Hon.)","Board of Internal Economy Member",
"Chagger, Bardish (Hon.)","Board of Internal Economy Member",
"Holland, Mark (Hon.)","Board of Internal Economy Member",
"Julian, Peter","Board of Internal Economy Member",
"Rodriguez, Pablo (Hon.)","Board of Internal Economy Member",
"Strahl, Mark","Board of Internal Economy Member",


HOUSE OFFICERS
"Name","Title","Political Affiliation",
"Regan, Geoff (Hon.)","Speaker","Liberal",
"Stanton, Bruce","Deputy Speaker and Chair of Committees of the Whole","Conservative",
"Hughes, Carol","Assistant Deputy Speaker and Deputy Chair of Committees of the Whole","NDP",
"Rota, Anthony","Assistant Deputy Speaker and Assistant Deputy Chair of Committees of the Whole","Liberal",
"Scheer, Andrew (Hon.)","Leader of the Conservative Party of Canada","Conservative",
"Singh, Jagmeet","Leader of the New Democratic Party","NDP",
"Trudeau, Justin (Right Hon.)","Leader of the Liberal Party","Liberal",
"Bergen, Candice (Hon.)","House Leader of the Official Opposition","Conservative",
"Julian, Peter","House Leader of the New Democratic Party","NDP",
"Brosseau, Ruth Ellen","Whip of the New Democratic Party","NDP",
"Holland, Mark (Hon.)","Chief Government Whip","Liberal",
"Strahl, Mark","Chief Opposition Whip","Conservative",
"Dubé, Matthew","Caucus Chair","NDP",
"Scarpaleggia, Francis","Caucus Chair","Liberal",
"Sweet, David","Caucus Chair","Conservative",


MEMBERS OF THE HOUSE OF COMMONS
"Name","Constituency","Province","Political Affiliation",
"Boissonnault, Randy","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boulerice, Alexandre","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Caron, Guy","Associate Member",
"Carrie, Colin","Associate Member",
"Champagne, François-Philippe (Hon.)","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Dhillon, Anju","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dubé, Matthew","Associate Member",
"Duvall, Scott","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Harvey, T.J.","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Jolibois, Georgina","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lapointe, Linda","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"Masse, Brian","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McKay, John (Hon.)","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Miller, Marc","Associate Member",
"Moore, Christine","Associate Member",
"Motz, Glen","Associate Member",
"Murray, Joyce (Hon.)","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Peschisolido, Joe","Associate Member",
"Picard, Michel","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Ratansi, Yasmin","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Rota, Anthony","Associate Member",
"Saganash, Romeo","Associate Member",
"Saini, Raj","Associate Member",
"Sarai, Randeep","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Stetski, Wayne","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Wrzesnewskyj, Borys","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SFIN)
"Name","Title",
"Easter, Wayne (Hon.)","Chair",
"Dusseault, Pierre-Luc","Member",
"Poilievre, Pierre (Hon.)","Member",
"Rudd, Kim","Member",
"Sorbara, Francesco","Member",


Fisheries and Oceans (FOPO)
"Name","Title",
"McDonald, Ken","Chair",
"Doherty, Todd","Vice-Chair",
"Johns, Gord","Vice-Chair",
"Arnold, Mel","Member",
"Calkins, Blaine","Member",
"Finnigan, Pat","Member",
"Fraser, Colin","Member",
"Hardie, Ken","Member",
"Morrissey, Robert","Member",
"Rogers, Churence","Member",
"Casey, Sean","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Rachel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Caron, Guy","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cormier, Serge","Associate Member",
"Cuzner, Rodger","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Dreeshen, Earl","Associate Member",
"Eglinski, Jim","Associate Member",
"Eyking, Mark (Hon.)","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Goldsmith-Jones, Pamela","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Hutchings, Gudie","Associate Member",
"Jeneroux, Matt","Associate Member",
"Jones, Yvonne","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Long, Wayne","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"Massé, Rémi","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Murray, Joyce (Hon.)","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SFOP)
"Name","Title",
"McDonald, Ken","Chair",
"Doherty, Todd","Member",
"Hardie, Ken","Member",
"Johns, Gord","Member",
"Morrissey, Robert","Member",


Foreign Affairs and International Development (FAAE)
"Name","Title",
"Levitt, Michael","Chair",
"Caron, Guy","Vice-Chair",
"O'Toole, Erin (Hon.)","Vice-Chair",
"Aboultaif, Ziad","Member",
"Alleslev, Leona","Member",
"Baylis, Frank","Member",
"Saini, Raj","Member",
"Sidhu, Jati","Member",
"Vandenbeld, Anita","Member",
"Wrzesnewskyj, Borys","Member",
"Goldsmith-Jones, Pamela","Parliamentary Secretary — Non-Voting Member",
"Khera, Kamal","Parliamentary Secretary — Non-Voting Member",
"Oliphant, Robert","Parliamentary Secretary — Non-Voting Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alghabra, Omar","Associate Member",
"Allison, Dean","Associate Member",
"Anandasangaree, Gary","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Arseneault, René","Associate Member",
"Arya, Chandra","Associate Member",
"Aubin, Robert","Associate Member",
"Ayoub, Ramez","Associate Member",
"Bagnell, Larry (Hon.)","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Beech, Terry","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Bittle, Chris","Associate Member",
"Blair, Bill (Hon.)","Associate Member",
"Blaney, Rachel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boissonnault, Randy","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boulerice, Alexandre","Associate Member",
"Brassard, John","Associate Member",
"Breton, Pierre","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Casey, Bill","Associate Member",
"Chen, Shaun","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cullen, Nathan","Associate Member",
"Davidson, Scot","Associate Member",
"DeCourcey, Matt","Associate Member",
"Deltell, Gérard","Associate Member",
"Dhaliwal, Sukh","Associate Member",
"Dhillon, Anju","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dzerowicz, Julie","Associate Member",
"Eglinski, Jim","Associate Member",
"Ehsassi, Ali","Associate Member",
"El-Khoury, Fayçal","Associate Member",
"Erskine-Smith, Nathaniel","Associate Member",
"Eyking, Mark (Hon.)","Associate Member",
"Eyolfson, Doug","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Fragiskatos, Peter","Associate Member",
"Fraser, Sean","Associate Member",
"Fry, Hedy (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gerretsen, Mark","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Goldsmith-Jones, Pamela","Associate Member",
"Gourde, Jacques","Associate Member",
"Hardcastle, Cheryl","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Housefather, Anthony","Associate Member",
"Iacono, Angelo","Associate Member",
"Jeneroux, Matt","Associate Member",
"Jowhari, Majid","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Khalid, Iqra","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Lauzon, Stéphane","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lightbound, Joël","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Ludwig, Karen","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"May, Bryan","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McGuinty, David (Hon.)","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Murray, Joyce (Hon.)","Associate Member",
"Nassif, Eva","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"Paradis, Denis (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Peterson, Kyle","Associate Member",
"Picard, Michel","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Ramsey, Tracey","Associate Member",
"Ratansi, Yasmin","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rioux, Jean","Associate Member",
"Rodriguez, Pablo (Hon.)","Associate Member",
"Saganash, Romeo","Associate Member",
"Sahota, Ruby","Associate Member",
"Sarai, Randeep","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sidhu, Sonia","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Spengemann, Sven","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tabbara, Marwan","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vandal, Dan","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Virani, Arif","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wilkinson, Jonathan (Hon.)","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zahid, Salma","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SFAA)
"Name","Title",
"Levitt, Michael","Chair",
"Caron, Guy","Member",
"O'Toole, Erin (Hon.)","Member",
"Saini, Raj","Member",
"Wrzesnewskyj, Borys","Member",


Subcommittee on International Human Rights (SDIR)
"Name","Title",
"Vandenbeld, Anita","Chair",
"Hardcastle, Cheryl","Vice-Chair",
"Sweet, David","Vice-Chair",
"Anderson, David","Member",
"Fragiskatos, Peter","Member",
"Khalid, Iqra","Member",
"Tabbara, Marwan","Member",


Government Operations and Estimates (OGGO)
"Name","Title",
"Lukiwski, Tom","Chair",
"Blaikie, Daniel","Vice-Chair",
"Ratansi, Yasmin","Vice-Chair",
"Deltell, Gérard","Member",
"Drouin, Francis","Member",
"Jowhari, Majid","Member",
"McCauley, Kelly","Member",
"Mendès, Alexandra","Member",
"Peterson, Kyle","Member",
"Yip, Jean","Member",
"Fergus, Greg","Parliamentary Secretary — Non-Voting Member",
"MacKinnon, Steven","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Aldag, John","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benson, Sheri","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Champagne, François-Philippe (Hon.)","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Choquette, François","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Dubourg, Emmanuel","Associate Member",
"Eglinski, Jim","Associate Member",
"Erskine-Smith, Nathaniel","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"MacKenzie, Dave","Associate Member",
"MacKinnon, Steven","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Murray, Joyce (Hon.)","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Ouellette, Robert-Falcon","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Romanado, Sherry","Associate Member",
"Rudd, Kim","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SOGG)
"Name","Title",
"Lukiwski, Tom","Chair",
"Blaikie, Daniel","Member",
"Drouin, Francis","Member",
"Ratansi, Yasmin","Member",


Health (HESA)
"Name","Title",
"Casey, Bill","Chair",
"Davies, Don","Vice-Chair",
"Gladu, Marilyn","Vice-Chair",
"Ayoub, Ramez","Member",
"Eyolfson, Doug","Member",
"Lobb, Ben","Member",
"McKinnon, Ron","Member",
"Ouellette, Robert-Falcon","Member",
"Sidhu, Sonia","Member",
"Webber, Len","Member",
"Damoff, Pam","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Angus, Charlie","Associate Member",
"Arnold, Mel","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Duguid, Terry","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Fisher, Darren","Associate Member",
"Fonseca, Peter","Associate Member",
"Fortier, Mona","Associate Member",
"Fragiskatos, Peter","Associate Member",
"Fry, Hedy (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Hardcastle, Cheryl","Associate Member",
"Harder, Rachael","Associate Member",
"Hardie, Ken","Associate Member",
"Hoback, Randy","Associate Member",
"Holland, Mark (Hon.)","Associate Member",
"Hughes, Carol","Associate Member",
"Jeneroux, Matt","Associate Member",
"Jolibois, Georgina","Associate Member",
"Jordan, Bernadette (Hon.)","Associate Member",
"Jowhari, Majid","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Khera, Kamal","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacGregor, Alistair","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Nassif, Eva","Associate Member",
"Nater, John","Associate Member",
"Nault, Robert (Hon.)","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"Oliphant, Robert","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rankin, Murray","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Saini, Raj","Associate Member",
"Sansoucy, Brigitte","Associate Member",
"Saroya, Bob","Associate Member",
"Scarpaleggia, Francis","Associate Member",
"Schmale, Jamie","Associate Member",
"Schulte, Deborah","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Young, Kate","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SHES)
"Name","Title",
"Casey, Bill","Chair",
"Davies, Don","Member",
"Eyolfson, Doug","Member",
"Gladu, Marilyn","Member",
"McKinnon, Ron","Member",


Human Resources, Skills and Social Development and the Status of Persons with Disabilities (HUMA)
"Name","Title",
"May, Bryan","Chair",
"Barlow, John","Vice-Chair",
"Sansoucy, Brigitte","Vice-Chair",
"Diotte, Kerry","Member",
"Falk, Rosemarie","Member",
"Hogg, Gordie","Member",
"Long, Wayne","Member",
"Morrissey, Robert","Member",
"Ruimy, Dan","Member",
"Sangha, Ramesh","Member",
"Cuzner, Rodger","Parliamentary Secretary — Non-Voting Member",
"Romanado, Sherry","Parliamentary Secretary — Non-Voting Member",
"Vaughan, Adam","Parliamentary Secretary — Non-Voting Member",
