"","constituency_name","observation_path","chamber_path","constituency_path","observation_number","chamber_number","constituency_number","chamber_name","province_name"
"421","Vancouver Kingsway","/chamber-1/observation-421","/chamber-1","/chamber-1/constituency-421",421,1,421,"House of Commons","British Columbia"
"422","Vancouver Quadra","/chamber-1/observation-422","/chamber-1","/chamber-1/constituency-422",422,1,422,"House of Commons","British Columbia"
"423","Vancouver South","/chamber-1/observation-423","/chamber-1","/chamber-1/constituency-423",423,1,423,"House of Commons","British Columbia"
"424","Vaudreuil-Soulanges","/chamber-1/observation-424","/chamber-1","/chamber-1/constituency-424",424,1,424,"House of Commons","Quebec"
"425","Vaudreuil—Soulanges","/chamber-1/observation-425","/chamber-1","/chamber-1/constituency-425",425,1,425,"House of Commons","Quebec"
"426","Vaughan","/chamber-1/observation-426","/chamber-1","/chamber-1/constituency-426",426,1,426,"House of Commons","Ontario"
"427","Vaughan—Woodbridge","/chamber-1/observation-427","/chamber-1","/chamber-1/constituency-427",427,1,427,"House of Commons","Ontario"
"428","Vegreville—Wainwright","/chamber-1/observation-428","/chamber-1","/chamber-1/constituency-428",428,1,428,"House of Commons","Alberta"
"429","Verchères—Les Patriotes","/chamber-1/observation-429","/chamber-1","/chamber-1/constituency-429",429,1,429,"House of Commons","Quebec"
"430","Victoria","/chamber-1/observation-430","/chamber-1","/chamber-1/constituency-430",430,1,430,"House of Commons","British Columbia"
"431","Ville-Marie—Le Sud-Ouest—Île-des-Soeurs","/chamber-1/observation-431","/chamber-1","/chamber-1/constituency-431",431,1,431,"House of Commons","Quebec"
"432","Vimy","/chamber-1/observation-432","/chamber-1","/chamber-1/constituency-432",432,1,432,"House of Commons","Quebec"
"433","Wascana","/chamber-1/observation-433","/chamber-1","/chamber-1/constituency-433",433,1,433,"House of Commons","Saskatchewan"
"434","Waterloo","/chamber-1/observation-434","/chamber-1","/chamber-1/constituency-434",434,1,434,"House of Commons","Ontario"
"435","Welland","/chamber-1/observation-435","/chamber-1","/chamber-1/constituency-435",435,1,435,"House of Commons","Ontario"
"436","Wellington—Halton Hills","/chamber-1/observation-436","/chamber-1","/chamber-1/constituency-436",436,1,436,"House of Commons","Ontario"
"437","West Nova","/chamber-1/observation-437","/chamber-1","/chamber-1/constituency-437",437,1,437,"House of Commons","Nova Scotia"
"438","West Vancouver—Sunshine Coast—Sea to Sky Country","/chamber-1/observation-438","/chamber-1","/chamber-1/constituency-438",438,1,438,"House of Commons","British Columbia"
"439","Westlock—St. Paul","/chamber-1/observation-439","/chamber-1","/chamber-1/constituency-439",439,1,439,"House of Commons","Alberta"
"440","Westmount—Ville-Marie","/chamber-1/observation-440","/chamber-1","/chamber-1/constituency-440",440,1,440,"House of Commons","Quebec"
"441","Wetaskiwin","/chamber-1/observation-441","/chamber-1","/chamber-1/constituency-441",441,1,441,"House of Commons","Alberta"
"442","Whitby","/chamber-1/observation-442","/chamber-1","/chamber-1/constituency-442",442,1,442,"House of Commons","Ontario"
"443","Whitby—Oshawa","/chamber-1/observation-443","/chamber-1","/chamber-1/constituency-443",443,1,443,"House of Commons","Ontario"
"444","Wild Rose","/chamber-1/observation-444","/chamber-1","/chamber-1/constituency-444",444,1,444,"House of Commons","Alberta"
"445","Willowdale","/chamber-1/observation-445","/chamber-1","/chamber-1/constituency-445",445,1,445,"House of Commons","Ontario"
"446","Windsor West","/chamber-1/observation-446","/chamber-1","/chamber-1/constituency-446",446,1,446,"House of Commons","Ontario"
"447","Windsor—Tecumseh","/chamber-1/observation-447","/chamber-1","/chamber-1/constituency-447",447,1,447,"House of Commons","Ontario"
"448","Winnipeg Centre","/chamber-1/observation-448","/chamber-1","/chamber-1/constituency-448",448,1,448,"House of Commons","Manitoba"
"449","Winnipeg North","/chamber-1/observation-449","/chamber-1","/chamber-1/constituency-449",449,1,449,"House of Commons","Manitoba"
"450","Winnipeg South","/chamber-1/observation-450","/chamber-1","/chamber-1/constituency-450",450,1,450,"House of Commons","Manitoba"
"451","Winnipeg South Centre","/chamber-1/observation-451","/chamber-1","/chamber-1/constituency-451",451,1,451,"House of Commons","Manitoba"
"452","Yellowhead","/chamber-1/observation-452","/chamber-1","/chamber-1/constituency-452",452,1,452,"House of Commons","Alberta"
"453","York Centre","/chamber-1/observation-453","/chamber-1","/chamber-1/constituency-453",453,1,453,"House of Commons","Ontario"
"454","York South—Weston","/chamber-1/observation-454","/chamber-1","/chamber-1/constituency-454",454,1,454,"House of Commons","Ontario"
"455","York West","/chamber-1/observation-455","/chamber-1","/chamber-1/constituency-455",455,1,455,"House of Commons","Ontario"
"456","York—Simcoe","/chamber-1/observation-456","/chamber-1","/chamber-1/constituency-456",456,1,456,"House of Commons","Ontario"
"457","Yorkton—Melville","/chamber-1/observation-457","/chamber-1","/chamber-1/constituency-457",457,1,457,"House of Commons","Saskatchewan"
"458","Yukon","/chamber-1/observation-458","/chamber-1","/chamber-1/constituency-458",458,1,458,"House of Commons","Yukon"
